prompt,classname,classidx
a photo of a crane bird.,crane bird,134
a photo of a crane.,crane,134
a photo of a limpkin.,limpkin,135
a photo of a common gallinule.,common gallinule,136
a photo of a American coot.,American coot,137
a photo of a bustard.,bustard,138
a photo of a ruddy turnstone.,ruddy turnstone,139
a photo of a dunlin.,dunlin,140
a photo of a common redshank.,common redshank,141
a photo of a dowitcher.,dowitcher,142
a photo of a oystercatcher.,oystercatcher,143
a photo of a pelican.,pelican,144
a photo of a king penguin.,king penguin,145
a photo of a albatross.,albatross,146
a photo of a grey whale.,grey whale,147
a photo of a killer whale.,killer whale,148
a photo of a dugong.,dugong,149
a photo of a sea lion.,sea lion,150
a photo of a Chihuahua.,Chihuahua,151
a photo of a Japanese Chin.,Japanese Chin,152
a photo of a Maltese.,Maltese,153
a photo of a Pekingese.,Pekingese,154
a photo of a Shih Tzu.,Shih Tzu,155
a photo of a King Charles Spaniel.,King Charles Spaniel,156
a photo of a Papillon.,Papillon,157
a photo of a toy terrier.,toy terrier,158
a photo of a Rhodesian Ridgeback.,Rhodesian Ridgeback,159
a photo of a Afghan Hound.,Afghan Hound,160
a photo of a Basset Hound.,Basset Hound,161
a photo of a Beagle.,Beagle,162
a photo of a Bloodhound.,Bloodhound,163
a photo of a Bluetick Coonhound.,Bluetick Coonhound,164
a photo of a Black and Tan Coonhound.,Black and Tan Coonhound,165
a photo of a Treeing Walker Coonhound.,Treeing Walker Coonhound,166
a photo of a English foxhound.,English foxhound,167
a photo of a Redbone Coonhound.,Redbone Coonhound,168
a photo of a borzoi.,borzoi,169
a photo of a Irish Wolfhound.,Irish Wolfhound,170
a photo of a Italian Greyhound.,Italian Greyhound,171
a photo of a Whippet.,Whippet,172
a photo of a Ibizan Hound.,Ibizan Hound,173
a photo of a Norwegian Elkhound.,Norwegian Elkhound,174
a photo of a Otterhound.,Otterhound,175
a photo of a Saluki.,Saluki,176
a photo of a Scottish Deerhound.,Scottish Deerhound,177
a photo of a Weimaraner.,Weimaraner,178
a photo of a Staffordshire Bull Terrier.,Staffordshire Bull Terrier,179
a photo of a American Staffordshire Terrier.,American Staffordshire Terrier,180
a photo of a Bedlington Terrier.,Bedlington Terrier,181
a photo of a Border Terrier.,Border Terrier,182
a photo of a Kerry Blue Terrier.,Kerry Blue Terrier,183
a photo of a Irish Terrier.,Irish Terrier,184
a photo of a Norfolk Terrier.,Norfolk Terrier,185
a photo of a Norwich Terrier.,Norwich Terrier,186
a photo of a Yorkshire Terrier.,Yorkshire Terrier,187
a photo of a Wire Fox Terrier.,Wire Fox Terrier,188
a photo of a Lakeland Terrier.,Lakeland Terrier,189
a photo of a Sealyham Terrier.,Sealyham Terrier,190
a photo of a Airedale Terrier.,Airedale Terrier,191
a photo of a Cairn Terrier.,Cairn Terrier,192
a photo of a Australian Terrier.,Australian Terrier,193
a photo of a Dandie Dinmont Terrier.,Dandie Dinmont Terrier,194
a photo of a Boston Terrier.,Boston Terrier,195
a photo of a Miniature Schnauzer.,Miniature Schnauzer,196
a photo of a Giant Schnauzer.,Giant Schnauzer,197
a photo of a Standard Schnauzer.,Standard Schnauzer,198
a photo of a Scottish Terrier.,Scottish Terrier,199
a photo of a Tibetan Terrier.,Tibetan Terrier,200
a photo of a Australian Silky Terrier.,Australian Silky Terrier,201
a photo of a Soft-coated Wheaten Terrier.,Soft-coated Wheaten Terrier,202
a photo of a West Highland White Terrier.,West Highland White Terrier,203
a photo of a Lhasa Apso.,Lhasa Apso,204
a photo of a Flat-Coated Retriever.,Flat-Coated Retriever,205
a photo of a Curly-coated Retriever.,Curly-coated Retriever,206
a photo of a Golden Retriever.,Golden Retriever,207
a photo of a Labrador Retriever.,Labrador Retriever,208
a photo of a Chesapeake Bay Retriever.,Chesapeake Bay Retriever,209
a photo of a German Shorthaired Pointer.,German Shorthaired Pointer,210
a photo of a Vizsla.,Vizsla,211
a photo of a English Setter.,English Setter,212
a photo of a Irish Setter.,Irish Setter,213
a photo of a Gordon Setter.,Gordon Setter,214
a photo of a Brittany dog.,Brittany dog,215
a photo of a Clumber Spaniel.,Clumber Spaniel,216
a photo of a English Springer Spaniel.,English Springer Spaniel,217
a photo of a Welsh Springer Spaniel.,Welsh Springer Spaniel,218
a photo of a Cocker Spaniel.,Cocker Spaniel,219
a photo of a Sussex Spaniel.,Sussex Spaniel,220
a photo of a Irish Water Spaniel.,Irish Water Spaniel,221
a photo of a Kuvasz.,Kuvasz,222
a photo of a Schipperke.,Schipperke,223
a photo of a Groenendael dog.,Groenendael dog,224
a photo of a Malinois.,Malinois,225
a photo of a Briard.,Briard,226
a photo of a Australian Kelpie.,Australian Kelpie,227
a photo of a Komondor.,Komondor,228
a photo of a Old English Sheepdog.,Old English Sheepdog,229
a photo of a Shetland Sheepdog.,Shetland Sheepdog,230
a photo of a collie.,collie,231
a photo of a Border Collie.,Border Collie,232
a photo of a Bouvier des Flandres dog.,Bouvier des Flandres dog,233
a photo of a Rottweiler.,Rottweiler,234
a photo of a German Shepherd Dog.,German Shepherd Dog,235
a photo of a Dobermann.,Dobermann,236
a photo of a Miniature Pinscher.,Miniature Pinscher,237
a photo of a Greater Swiss Mountain Dog.,Greater Swiss Mountain Dog,238
a photo of a Bernese Mountain Dog.,Bernese Mountain Dog,239
a photo of a Appenzeller Sennenhund.,Appenzeller Sennenhund,240
a photo of a Entlebucher Sennenhund.,Entlebucher Sennenhund,241
a photo of a Boxer.,Boxer,242
a photo of a Bullmastiff.,Bullmastiff,243
a photo of a Tibetan Mastiff.,Tibetan Mastiff,244
a photo of a French Bulldog.,French Bulldog,245
a photo of a Great Dane.,Great Dane,246
a photo of a St. Bernard.,St. Bernard,247
a photo of a husky.,husky,248
a photo of a Alaskan Malamute.,Alaskan Malamute,249
a photo of a Siberian Husky.,Siberian Husky,250
a photo of a Dalmatian.,Dalmatian,251
a photo of a Affenpinscher.,Affenpinscher,252
a photo of a Basenji.,Basenji,253
a photo of a pug.,pug,254
a photo of a Leonberger.,Leonberger,255
a photo of a Newfoundland dog.,Newfoundland dog,256
a photo of a Great Pyrenees dog.,Great Pyrenees dog,257
a photo of a Samoyed.,Samoyed,258
a photo of a Pomeranian.,Pomeranian,259
a photo of a Chow Chow.,Chow Chow,260
a photo of a Keeshond.,Keeshond,261
a photo of a brussels griffon.,brussels griffon,262
a photo of a Pembroke Welsh Corgi.,Pembroke Welsh Corgi,263
a photo of a Cardigan Welsh Corgi.,Cardigan Welsh Corgi,264
a photo of a Toy Poodle.,Toy Poodle,265
a photo of a Miniature Poodle.,Miniature Poodle,266
a photo of a Standard Poodle.,Standard Poodle,267
a photo of a Mexican hairless dog (xoloitzcuintli).,Mexican hairless dog (xoloitzcuintli),268
a photo of a grey wolf.,grey wolf,269
a photo of a Alaskan tundra wolf.,Alaskan tundra wolf,270
a photo of a red wolf or maned wolf.,red wolf or maned wolf,271
a photo of a coyote.,coyote,272
a photo of a dingo.,dingo,273
a photo of a dhole.,dhole,274
a photo of a African wild dog.,African wild dog,275
a photo of a hyena.,hyena,276
a photo of a red fox.,red fox,277
a photo of a kit fox.,kit fox,278
a photo of a Arctic fox.,Arctic fox,279
a photo of a grey fox.,grey fox,280
a photo of a tabby cat.,tabby cat,281
a photo of a tiger cat.,tiger cat,282
a photo of a Persian cat.,Persian cat,283
a photo of a Siamese cat.,Siamese cat,284
a photo of a Egyptian Mau.,Egyptian Mau,285
a photo of a cougar.,cougar,286
a photo of a lynx.,lynx,287
a photo of a leopard.,leopard,288
a photo of a snow leopard.,snow leopard,289
a photo of a jaguar.,jaguar,290
a photo of a lion.,lion,291
a photo of a tiger.,tiger,292
a photo of a cheetah.,cheetah,293
a photo of a brown bear.,brown bear,294
a photo of a American black bear.,American black bear,295
a photo of a polar bear.,polar bear,296
a photo of a sloth bear.,sloth bear,297
a photo of a mongoose.,mongoose,298
a photo of a meerkat.,meerkat,299
a photo of a tiger beetle.,tiger beetle,300
a photo of a ladybug.,ladybug,301
a photo of a ground beetle.,ground beetle,302
a photo of a longhorn beetle.,longhorn beetle,303
a photo of a leaf beetle.,leaf beetle,304
a photo of a dung beetle.,dung beetle,305
a photo of a rhinoceros beetle.,rhinoceros beetle,306
a photo of a weevil.,weevil,307
a photo of a fly.,fly,308
a photo of a bee.,bee,309
a photo of a ant.,ant,310
a photo of a grasshopper.,grasshopper,311
a photo of a cricket insect.,cricket insect,312
a photo of a cricket.,cricket,312
a photo of a walking stick.,walking stick,313
a photo of a stick insect.,stick insect,313
a photo of a cockroach.,cockroach,314
a photo of a mantis.,mantis,315
a photo of a praying mantis.,praying mantis,315
a photo of a cicada.,cicada,316
a photo of a leafhopper.,leafhopper,317
a photo of a lacewing.,lacewing,318
a photo of a dragonfly.,dragonfly,319
a photo of a damselfly.,damselfly,320
a photo of a red admiral butterfly.,red admiral butterfly,321
a photo of a ringlet butterfly.,ringlet butterfly,322
a photo of a monarch butterfly.,monarch butterfly,323
a photo of a small white butterfly.,small white butterfly,324
a photo of a sulphur butterfly.,sulphur butterfly,325
a photo of a gossamer-winged butterfly.,gossamer-winged butterfly,326
a photo of a starfish.,starfish,327
a photo of a sea urchin.,sea urchin,328
a photo of a sea cucumber.,sea cucumber,329
a photo of a cottontail rabbit.,cottontail rabbit,330
a photo of a hare.,hare,331
a photo of a Angora rabbit.,Angora rabbit,332
a photo of a hamster.,hamster,333
a photo of a porcupine.,porcupine,334
a photo of a fox squirrel.,fox squirrel,335
a photo of a marmot.,marmot,336
a photo of a beaver.,beaver,337
a photo of a guinea pig.,guinea pig,338
a photo of a common sorrel horse.,common sorrel horse,339
a photo of a zebra.,zebra,340
a photo of a pig.,pig,341
a photo of a hog.,hog,341
a photo of a wild boar.,wild boar,342
a photo of a warthog.,warthog,343
a photo of a hippopotamus.,hippopotamus,344
a photo of a ox.,ox,345
a photo of a water buffalo.,water buffalo,346
a photo of a bison.,bison,347
a photo of a ram (adult male sheep).,ram (adult male sheep),348
a photo of a bighorn sheep.,bighorn sheep,349
a photo of a Alpine ibex.,Alpine ibex,350
a photo of a hartebeest.,hartebeest,351
a photo of a impala (antelope).,impala (antelope),352
a photo of a gazelle.,gazelle,353
a photo of a arabian camel.,arabian camel,354
a photo of a llama.,llama,355
a photo of a weasel.,weasel,356
a photo of a mink.,mink,357
a photo of a European polecat.,European polecat,358
a photo of a polecat.,polecat,358
a photo of a black-footed ferret.,black-footed ferret,359
a photo of a otter.,otter,360
a photo of a skunk.,skunk,361
a photo of a badger.,badger,362
a photo of a armadillo.,armadillo,363
a photo of a three-toed sloth.,three-toed sloth,364
a photo of a orangutan.,orangutan,365
a photo of a gorilla.,gorilla,366
a photo of a chimpanzee.,chimpanzee,367
a photo of a gibbon.,gibbon,368
a photo of a siamang.,siamang,369
a photo of a guenon.,guenon,370
a photo of a patas monkey.,patas monkey,371
a photo of a baboon.,baboon,372
a photo of a macaque.,macaque,373
a photo of a langur.,langur,374
a photo of a black-and-white colobus.,black-and-white colobus,375
a photo of a proboscis monkey.,proboscis monkey,376
a photo of a marmoset.,marmoset,377
a photo of a white-headed capuchin.,white-headed capuchin,378
a photo of a howler monkey.,howler monkey,379
a photo of a titi monkey.,titi monkey,380
a photo of a Geoffroy's spider monkey.,Geoffroy's spider monkey,381
a photo of a common squirrel monkey.,common squirrel monkey,382
a photo of a ring-tailed lemur.,ring-tailed lemur,383
a photo of a indri.,indri,384
a photo of a Asian elephant.,Asian elephant,385
a photo of a African bush elephant.,African bush elephant,386
a photo of a lesser panda.,lesser panda,387
a photo of a red panda.,red panda,387
a photo of a giant panda.,giant panda,388
a photo of a barracouta.,barracouta,389
a photo of a snoek fish.,snoek fish,389
a photo of a eel.,eel,390
a photo of a silver salmon.,silver salmon,391
a photo of a rock beauty fish.,rock beauty fish,392
a photo of a clownfish.,clownfish,393
a photo of a sturgeon.,sturgeon,394
a photo of a gar fish.,gar fish,395
a photo of a gar.,gar,395
a photo of a lionfish.,lionfish,396
a photo of a puffer.,puffer,397
a photo of a pufferfish.,pufferfish,397
a photo of a abacus.,abacus,398
a photo of a abaya.,abaya,399
a photo of a academic gown.,academic gown,400
a photo of a accordion.,accordion,401
a photo of a acoustic guitar.,acoustic guitar,402
a photo of a aircraft carrier.,aircraft carrier,403
a photo of a airliner.,airliner,404
a photo of a airship.,airship,405
a photo of a altar.,altar,406
a photo of a ambulance.,ambulance,407
a photo of a amphibious vehicle.,amphibious vehicle,408
a photo of a amphibian.,amphibian,408
a photo of a analog clock.,analog clock,409
a photo of a apiary.,apiary,410
a photo of a apron.,apron,411
a photo of a trash can.,trash can,412
a photo of a assault rifle.,assault rifle,413
a photo of a backpack.,backpack,414
a photo of a bakery.,bakery,415
a photo of a balance beam.,balance beam,416
a photo of a balloon.,balloon,417
a photo of a ballpoint pen.,ballpoint pen,418
a photo of a Band-Aid.,Band-Aid,419
a photo of a banjo.,banjo,420
a photo of a bannister.,bannister,421
a photo of a baluster / handrail.,baluster / handrail,421
a photo of a barbell.,barbell,422
a photo of a barber chair.,barber chair,423
a photo of a barbershop.,barbershop,424
a photo of a barn.,barn,425
a photo of a barometer.,barometer,426
a photo of a barrel.,barrel,427
a photo of a wheelbarrow.,wheelbarrow,428
a photo of a baseball.,baseball,429
a photo of a basketball.,basketball,430
a photo of a bassinet.,bassinet,431
a photo of a bassoon.,bassoon,432
a photo of a swimming cap.,swimming cap,433
a photo of a bath towel.,bath towel,434
a photo of a bathtub.,bathtub,435
a photo of a station wagon.,station wagon,436
a photo of a lighthouse.,lighthouse,437
a photo of a beaker.,beaker,438
a photo of a military hat (bearskin or shako).,military hat (bearskin or shako),439
a photo of a beer bottle.,beer bottle,440
a photo of a beer glass.,beer glass,441
a photo of a bell cote.,bell cote,442
a photo of a bell tower.,bell tower,442
a photo of a bib.,bib,443
a photo of a baby bib.,baby bib,443
a photo of a tandem bicycle.,tandem bicycle,444
a photo of a bikini.,bikini,445
a photo of a ring binder.,ring binder,446
a photo of a binoculars.,binoculars,447
a photo of a birdhouse.,birdhouse,448
a photo of a boathouse.,boathouse,449
a photo of a bobsled.,bobsled,450
a photo of a bobsleigh.,bobsleigh,450
a photo of a bolo tie.,bolo tie,451
a photo of a poke bonnet.,poke bonnet,452
a photo of a bookcase.,bookcase,453
a photo of a bookstore.,bookstore,454
a photo of a bottle cap.,bottle cap,455
a photo of a hunting bow.,hunting bow,456
a photo of a bow.,bow,456
a photo of a bow tie.,bow tie,457
a photo of a brass memorial plaque.,brass memorial plaque,458
a photo of a bra.,bra,459
a photo of a breakwater.,breakwater,460
a photo of a breastplate.,breastplate,461
a photo of a broom.,broom,462
a photo of a bucket.,bucket,463
a photo of a buckle.,buckle,464
a photo of a bulletproof vest.,bulletproof vest,465
a photo of a high-speed train.,high-speed train,466
a photo of a butcher shop.,butcher shop,467
a photo of a taxicab.,taxicab,468
a photo of a cauldron.,cauldron,469
a photo of a candle.,candle,470
a photo of a cannon.,cannon,471
a photo of a canoe.,canoe,472
a photo of a can opener.,can opener,473
a photo of a cardigan.,cardigan,474
a photo of a car mirror.,car mirror,475
a photo of a carousel.,carousel,476
a photo of a carpenter's kit.,carpenter's kit,477
a photo of a tool kit.,tool kit,477
a photo of a cardboard box / carton.,cardboard box / carton,478
a photo of a car wheel.,car wheel,479
a photo of a automated teller machine.,automated teller machine,480
a photo of a cassette.,cassette,481
a photo of a cassette player.,cassette player,482
a photo of a castle.,castle,483
a photo of a catamaran.,catamaran,484
a photo of a CD player.,CD player,485
a photo of a cello.,cello,486
a photo of a mobile phone.,mobile phone,487
a photo of a chain.,chain,488
a photo of a chain-link fence.,chain-link fence,489
a photo of a chain mail.,chain mail,490
a photo of a chainsaw.,chainsaw,491
a photo of a chain saw.,chain saw,491
a photo of a chest.,chest,492
a photo of a storage chest.,storage chest,492
a photo of a chiffonier.,chiffonier,493
a photo of a bell or wind chime.,bell or wind chime,494
a photo of a china cabinet.,china cabinet,495
a photo of a Christmas stocking.,Christmas stocking,496
a photo of a church.,church,497
a photo of a movie theater.,movie theater,498
a photo of a cleaver.,cleaver,499
a photo of a cliff dwelling.,cliff dwelling,500
a photo of a cloak.,cloak,501
a photo of a clog.,clog,502
a photo of a clogs.,clogs,502
a photo of a cocktail shaker.,cocktail shaker,503
a photo of a coffee mug.,coffee mug,504
a photo of a coffeemaker.,coffeemaker,505
a photo of a spiral or coil.,spiral or coil,506
a photo of a combination lock.,combination lock,507
a photo of a computer keyboard.,computer keyboard,508
a photo of a candy store.,candy store,509
a photo of a container ship.,container ship,510
a photo of a convertible.,convertible,511
a photo of a corkscrew.,corkscrew,512
a photo of a cornet.,cornet,513
a photo of a cowboy boot.,cowboy boot,514
a photo of a cowboy hat.,cowboy hat,515
a photo of a cradle.,cradle,516
a photo of a construction crane.,construction crane,517
a photo of a crash helmet.,crash helmet,518
a photo of a crate.,crate,519
a photo of a infant bed.,infant bed,520
a photo of a Crock Pot.,Crock Pot,521
a photo of a croquet ball.,croquet ball,522
a photo of a crutch.,crutch,523
a photo of a cuirass.,cuirass,524
a photo of a dam.,dam,525
a photo of a desk.,desk,526
a photo of a desktop computer.,desktop computer,527
a photo of a rotary dial telephone.,rotary dial telephone,528
a photo of a diaper.,diaper,529
a photo of a digital clock.,digital clock,530
a photo of a digital watch.,digital watch,531
a photo of a dining table.,dining table,532
a photo of a dishrag.,dishrag,533
a photo of a dishcloth.,dishcloth,533
a photo of a dishwasher.,dishwasher,534
a photo of a disc brake.,disc brake,535
a photo of a dock.,dock,536
a photo of a dog sled.,dog sled,537
a photo of a dogsled.,dogsled,537
a photo of a dome.,dome,538
a photo of a doormat.,doormat,539
a photo of a drilling rig.,drilling rig,540
a photo of a drilling platform.,drilling platform,540
a photo of a drum.,drum,541
a photo of a drumstick.,drumstick,542
a photo of a dumbbell.,dumbbell,543
a photo of a Dutch oven.,Dutch oven,544
a photo of a electric fan.,electric fan,545
a photo of a electric guitar.,electric guitar,546
a photo of a electric locomotive.,electric locomotive,547
a photo of a entertainment center.,entertainment center,548
a photo of a envelope.,envelope,549
a photo of a espresso machine.,espresso machine,550
a photo of a face powder.,face powder,551
a photo of a feather boa.,feather boa,552
a photo of a filing cabinet.,filing cabinet,553
a photo of a fireboat.,fireboat,554
a photo of a fire truck.,fire truck,555
a photo of a fire screen.,fire screen,556
a photo of a flagpole.,flagpole,557
a photo of a flute.,flute,558
a photo of a folding chair.,folding chair,559
a photo of a football helmet.,football helmet,560
a photo of a forklift.,forklift,561
a photo of a fountain.,fountain,562
a photo of a fountain pen.,fountain pen,563
a photo of a four-poster bed.,four-poster bed,564
a photo of a freight car.,freight car,565
a photo of a French horn.,French horn,566
a photo of a frying pan.,frying pan,567
a photo of a fur coat.,fur coat,568
a photo of a garbage truck.,garbage truck,569
a photo of a gas mask or respirator.,gas mask or respirator,570
a photo of a gas pump.,gas pump,571
a photo of a goblet.,goblet,572
a photo of a go-kart.,go-kart,573
a photo of a golf ball.,golf ball,574
a photo of a golf cart.,golf cart,575
a photo of a gondola.,gondola,576
a photo of a gong.,gong,577
a photo of a gown.,gown,578
a photo of a grand piano.,grand piano,579
a photo of a greenhouse.,greenhouse,580
a photo of a radiator grille.,radiator grille,581
a photo of a grocery store.,grocery store,582
a photo of a guillotine.,guillotine,583
a photo of a hair clip.,hair clip,584
a photo of a hair spray.,hair spray,585
a photo of a half track.,half track,586
a photo of a half-track.,half-track,586
a photo of a hammer.,hammer,587
a photo of a hamper.,hamper,588
a photo of a hand blower.,hand blower,589
a photo of a hair dryer.,hair dryer,589
a photo of a hand-held computer.,hand-held computer,590
a photo of a handkerchief.,handkerchief,591
a photo of a hard disk drive.,hard disk drive,592
a photo of a harmonica.,harmonica,593
a photo of a harp.,harp,594
a photo of a combine harvester.,combine harvester,595
a photo of a hatchet.,hatchet,596
a photo of a holster.,holster,597
a photo of a home theater.,home theater,598
a photo of a honeycomb.,honeycomb,599
a photo of a hook.,hook,600
a photo of a hoop skirt.,hoop skirt,601
a photo of a gymnastic horizontal bar.,gymnastic horizontal bar,602
a photo of a horse-drawn vehicle.,horse-drawn vehicle,603
a photo of a horse cart.,horse cart,603
a photo of a hourglass.,hourglass,604
a photo of a iPod.,iPod,605
a photo of a clothes iron.,clothes iron,606
a photo of a iron.,iron,606
a photo of a carved pumpkin.,carved pumpkin,607
a photo of a jeans.,jeans,608
a photo of a jeep.,jeep,609
a photo of a T-shirt.,T-shirt,610
a photo of a jigsaw puzzle.,jigsaw puzzle,611
a photo of a jinrikisha.,jinrikisha,612
a photo of a rickshaw.,rickshaw,612
a photo of a joystick.,joystick,613
a photo of a kimono.,kimono,614
a photo of a knee pad.,knee pad,615
a photo of a knot.,knot,616
a photo of a lab coat.,lab coat,617
a photo of a ladle.,ladle,618
a photo of a lampshade.,lampshade,619
a photo of a laptop computer.,laptop computer,620
a photo of a lawn mower.,lawn mower,621
a photo of a lens cap.,lens cap,622
a photo of a letter opener.,letter opener,623
a photo of a library.,library,624
a photo of a lifeboat.,lifeboat,625
a photo of a lighter.,lighter,626
a photo of a limousine.,limousine,627
a photo of a ocean liner.,ocean liner,628
a photo of a lipstick.,lipstick,629
a photo of a slip-on shoe.,slip-on shoe,630
a photo of a lotion.,lotion,631
a photo of a music speaker.,music speaker,632
a photo of a loupe magnifying glass.,loupe magnifying glass,633
a photo of a sawmill.,sawmill,634
a photo of a magnetic compass.,magnetic compass,635
a photo of a messenger bag.,messenger bag,636
a photo of a mailbox.,mailbox,637
a photo of a tights.,tights,638
a photo of a one-piece bathing suit.,one-piece bathing suit,639
a photo of a manhole cover.,manhole cover,640
a photo of a maraca.,maraca,641
a photo of a marimba.,marimba,642
a photo of a mask.,mask,643
a photo of a matchstick.,matchstick,644
a photo of a maypole.,maypole,645
a photo of a maze.,maze,646
a photo of a measuring cup.,measuring cup,647
a photo of a medicine cabinet.,medicine cabinet,648
a photo of a megalith.,megalith,649
a photo of a microphone.,microphone,650
a photo of a microwave.,microwave,651
a photo of a microwave oven.,microwave oven,651
a photo of a military uniform.,military uniform,652
a photo of a milk can.,milk can,653
a photo of a minibus.,minibus,654
a photo of a miniskirt.,miniskirt,655
a photo of a minivan.,minivan,656
a photo of a missile.,missile,657
a photo of a mitten.,mitten,658
a photo of a mixing bowl.,mixing bowl,659
a photo of a mobile home.,mobile home,660
a photo of a ford model t.,ford model t,661
a photo of a modem.,modem,662
a photo of a monastery.,monastery,663
a photo of a monitor.,monitor,664
a photo of a moped.,moped,665
a photo of a mortar and pestle.,mortar and pestle,666
a photo of a graduation cap.,graduation cap,667
