node,prompt,classname,level,classidx,isleaf
n01614925,a bad photo of  a bald eagle.,bald eagle,4,22,1
n01616318,a bad photo of  a vulture.,vulture,4,23,1
n01622779,a bad photo of  a great grey owl.,great grey owl,4,24,1
n01629819,a bad photo of  a fire salamander.,fire salamander,4,25,1
n01630670,a bad photo of  a smooth newt.,smooth newt,4,26,1
n01631663,a bad photo of  a newt.,newt,4,27,1
n01632458,a bad photo of  a spotted salamander.,spotted salamander,4,28,1
n01632777,a bad photo of  a axolotl.,axolotl,4,29,1
n01641577,a bad photo of  a American bullfrog.,American bullfrog,4,30,1
n01644373,a bad photo of  a tree frog.,tree frog,4,31,1
n01644900,a bad photo of  a tailed frog.,tailed frog,4,32,1
n01664065,a bad photo of  a loggerhead sea turtle.,loggerhead sea turtle,4,33,1
n01665541,a bad photo of  a leatherback sea turtle.,leatherback sea turtle,4,34,1
n01667114,a bad photo of  a mud turtle.,mud turtle,4,35,1
n01667778,a bad photo of  a terrapin.,terrapin,4,36,1
n01669191,a bad photo of  a box turtle.,box turtle,4,37,1
n01675722,a bad photo of  a banded gecko.,banded gecko,4,38,1
n01677366,a bad photo of  a green iguana.,green iguana,4,39,1
n01682714,a bad photo of  a Carolina anole.,Carolina anole,4,40,1
n01685808,a bad photo of  a desert grassland whiptail lizard.,desert grassland whiptail lizard,4,41,1
n01687978,a bad photo of  a agama.,agama,4,42,1
n01688243,a bad photo of  a frilled-necked lizard.,frilled-necked lizard,4,43,1
n01689811,a bad photo of  a alligator lizard.,alligator lizard,4,44,1
n01692333,a bad photo of  a Gila monster.,Gila monster,4,45,1
n01693334,a bad photo of  a European green lizard.,European green lizard,4,46,1
n01694178,a bad photo of  a chameleon.,chameleon,4,47,1
n01695060,a bad photo of  a Komodo dragon.,Komodo dragon,4,48,1
n01697457,a bad photo of  a Nile crocodile.,Nile crocodile,4,49,1
n01698640,a bad photo of  a American alligator.,American alligator,4,50,1
n01704323,a bad photo of  a triceratops.,triceratops,4,51,1
n01728572,a bad photo of  a worm snake.,worm snake,4,52,1
n01728920,a bad photo of  a ring-necked snake.,ring-necked snake,4,53,1
n01729322,a bad photo of  a eastern hog-nosed snake.,eastern hog-nosed snake,4,54,1
n01729977,a bad photo of  a smooth green snake.,smooth green snake,4,55,1
n01734418,a bad photo of  a kingsnake.,kingsnake,4,56,1
n01735189,a bad photo of  a garter snake.,garter snake,4,57,1
n01737021,a bad photo of  a water snake.,water snake,4,58,1
n01739381,a bad photo of  a vine snake.,vine snake,4,59,1
n01740131,a bad photo of  a night snake.,night snake,4,60,1
n01742172,a bad photo of  a boa constrictor.,boa constrictor,4,61,1
n01744401,a bad photo of  a African rock python.,African rock python,4,62,1
n01748264,a bad photo of  a Indian cobra.,Indian cobra,4,63,1
n01749939,a bad photo of  a green mamba.,green mamba,4,64,1
n01751748,a bad photo of  a sea snake.,sea snake,4,65,1
n01753488,a bad photo of  a Saharan horned viper.,Saharan horned viper,4,66,1
n01755581,a bad photo of  a eastern diamondback rattlesnake.,eastern diamondback rattlesnake,4,67,1
n01756291,a bad photo of  a sidewinder rattlesnake.,sidewinder rattlesnake,4,68,1
n01770081,a bad photo of  a harvestman.,harvestman,4,70,1
n01770393,a bad photo of  a scorpion.,scorpion,4,71,1
n01773157,a bad photo of  a yellow garden spider.,yellow garden spider,4,72,1
n01773549,a bad photo of  a barn spider.,barn spider,4,73,1
n01773797,a bad photo of  a European garden spider.,European garden spider,4,74,1
n01774384,a bad photo of  a southern black widow.,southern black widow,4,75,1
n01774750,a bad photo of  a tarantula.,tarantula,4,76,1
n01775062,a bad photo of  a wolf spider.,wolf spider,4,77,1
n01776313,a bad photo of  a tick.,tick,4,78,1
n01795545,a bad photo of  a black grouse.,black grouse,4,80,1
n01796340,a bad photo of  a ptarmigan.,ptarmigan,4,81,1
n01797886,a bad photo of  a ruffed grouse.,ruffed grouse,4,82,1
n01798484,a bad photo of  a prairie grouse.,prairie grouse,4,83,1
n01806143,a bad photo of  a peafowl.,peafowl,4,84,1
n01806567,a bad photo of  a quail.,quail,4,85,1
n01807496,a bad photo of  a partridge.,partridge,4,86,1
n01817953,a bad photo of  a african grey parrot.,african grey parrot,4,87,1
n01818515,a bad photo of  a macaw.,macaw,4,88,1
n01819313,a bad photo of  a sulphur-crested cockatoo.,sulphur-crested cockatoo,4,89,1
n01820546,a bad photo of  a lorikeet.,lorikeet,4,90,1
n01824575,a bad photo of  a coucal.,coucal,4,91,1
n01828970,a bad photo of  a bee eater.,bee eater,4,92,1
n01829413,a bad photo of  a hornbill.,hornbill,4,93,1
n01833805,a bad photo of  a hummingbird.,hummingbird,4,94,1
n01843065,a bad photo of  a jacamar.,jacamar,4,95,1
n01843383,a bad photo of  a toucan.,toucan,4,96,1
n01847000,a bad photo of  a duck.,duck,4,97,1
n01855032,a bad photo of  a red-breasted merganser.,red-breasted merganser,4,98,1
n01855672,a bad photo of  a goose.,goose,4,99,1
n01860187,a bad photo of  a black swan.,black swan,4,100,1
n01871265,a bad photo of  a tusker.,tusker,4,101,1
n01872401,a bad photo of  a echidna.,echidna,4,102,1
n01873310,a bad photo of  a platypus.,platypus,4,103,1
n01877812,a bad photo of  a wallaby.,wallaby,4,104,1
n01882714,a bad photo of  a koala.,koala,4,105,1
n01883070,a bad photo of  a wombat.,wombat,4,106,1
n01910747,a bad photo of  a jellyfish.,jellyfish,4,107,1
n01914609,a bad photo of  a sea anemone.,sea anemone,4,108,1
n01917289,a bad photo of  a brain coral.,brain coral,4,109,1
n01924916,a bad photo of  a flatworm.,flatworm,4,110,1
n01930112,a bad photo of  a nematode.,nematode,4,111,1
n01943899,a bad photo of  a conch.,conch,4,112,1
n01944390,a bad photo of  a snail.,snail,4,113,1
n01945685,a bad photo of  a slug.,slug,4,114,1
n01950731,a bad photo of  a sea slug.,sea slug,4,115,1
n01968897,a bad photo of  a chambered nautilus.,chambered nautilus,4,117,1
n01978287,a bad photo of  a Dungeness crab.,Dungeness crab,4,118,1
n01978455,a bad photo of  a rock crab.,rock crab,4,119,1
n01980166,a bad photo of  a fiddler crab.,fiddler crab,4,120,1
n01981276,a bad photo of  a red king crab.,red king crab,4,121,1
n01983481,a bad photo of  a American lobster.,American lobster,4,122,1
n01984695,a bad photo of  a spiny lobster.,spiny lobster,4,123,1
n01985128,a bad photo of  a crayfish.,crayfish,4,124,1
n01986214,a bad photo of  a hermit crab.,hermit crab,4,125,1
n01990800,a bad photo of  a isopod.,isopod,4,126,1
n02002556,a bad photo of  a white stork.,white stork,4,127,1
n02002724,a bad photo of  a black stork.,black stork,4,128,1
n02006656,a bad photo of  a spoonbill.,spoonbill,4,129,1
n02007558,a bad photo of  a flamingo.,flamingo,4,130,1
n02009229,a bad photo of  a little blue heron.,little blue heron,4,131,1
n02009912,a bad photo of  a great egret.,great egret,4,132,1
n02011460,a bad photo of  a bittern bird.,bittern bird,4,133,1
n02012849,a bad photo of  a crane bird.,crane bird,4,134,1
n02013706,a bad photo of  a limpkin.,limpkin,4,135,1
n02017213,a bad photo of  a common gallinule.,common gallinule,4,136,1
n02018207,a bad photo of  a American coot.,American coot,4,137,1
n02018795,a bad photo of  a bustard.,bustard,4,138,1
n02025239,a bad photo of  a ruddy turnstone.,ruddy turnstone,4,139,1
n02027492,a bad photo of  a dunlin.,dunlin,4,140,1
n02028035,a bad photo of  a common redshank.,common redshank,4,141,1
n02033041,a bad photo of  a dowitcher.,dowitcher,4,142,1
n02037110,a bad photo of  a oystercatcher.,oystercatcher,4,143,1
n02051845,a bad photo of  a pelican.,pelican,4,144,1
n02056570,a bad photo of  a king penguin.,king penguin,4,145,1
n02058221,a bad photo of  a albatross.,albatross,4,146,1
n02066245,a bad photo of  a grey whale.,grey whale,4,147,1
n02071294,a bad photo of  a killer whale.,killer whale,4,148,1
n02074367,a bad photo of  a dugong.,dugong,4,149,1
n02077923,a bad photo of  a sea lion.,sea lion,4,150,1
n02085620,a bad photo of  a Chihuahua.,Chihuahua,4,151,1
n02085782,a bad photo of  a Japanese Chin.,Japanese Chin,4,152,1
n02085936,a bad photo of  a Maltese.,Maltese,4,153,1
n02086079,a bad photo of  a Pekingese.,Pekingese,4,154,1
n02086240,a bad photo of  a Shih Tzu.,Shih Tzu,4,155,1
n02086646,a bad photo of  a King Charles Spaniel.,King Charles Spaniel,4,156,1
n02086910,a bad photo of  a Papillon.,Papillon,4,157,1
n02087046,a bad photo of  a toy terrier.,toy terrier,4,158,1
n02087394,a bad photo of  a Rhodesian Ridgeback.,Rhodesian Ridgeback,4,159,1
n02088094,a bad photo of  a Afghan Hound.,Afghan Hound,4,160,1
n02088238,a bad photo of  a Basset Hound.,Basset Hound,4,161,1
n02088364,a bad photo of  a Beagle.,Beagle,4,162,1
n02088466,a bad photo of  a Bloodhound.,Bloodhound,4,163,1
n02088632,a bad photo of  a Bluetick Coonhound.,Bluetick Coonhound,4,164,1
n02089078,a bad photo of  a Black and Tan Coonhound.,Black and Tan Coonhound,4,165,1
n02089867,a bad photo of  a Treeing Walker Coonhound.,Treeing Walker Coonhound,4,166,1
n02089973,a bad photo of  a English foxhound.,English foxhound,4,167,1
n02090379,a bad photo of  a Redbone Coonhound.,Redbone Coonhound,4,168,1
n02090622,a bad photo of  a borzoi.,borzoi,4,169,1
n02090721,a bad photo of  a Irish Wolfhound.,Irish Wolfhound,4,170,1
n02091032,a bad photo of  a Italian Greyhound.,Italian Greyhound,4,171,1
n02091134,a bad photo of  a Whippet.,Whippet,4,172,1
n02091244,a bad photo of  a Ibizan Hound.,Ibizan Hound,4,173,1
n02091467,a bad photo of  a Norwegian Elkhound.,Norwegian Elkhound,4,174,1
n02091635,a bad photo of  a Otterhound.,Otterhound,4,175,1
n02091831,a bad photo of  a Saluki.,Saluki,4,176,1
n02092002,a bad photo of  a Scottish Deerhound.,Scottish Deerhound,4,177,1
n02092339,a bad photo of  a Weimaraner.,Weimaraner,4,178,1
n02093256,a bad photo of  a Staffordshire Bull Terrier.,Staffordshire Bull Terrier,4,179,1
n02093428,a bad photo of  a American Staffordshire Terrier.,American Staffordshire Terrier,4,180,1
n02093647,a bad photo of  a Bedlington Terrier.,Bedlington Terrier,4,181,1
n02093754,a bad photo of  a Border Terrier.,Border Terrier,4,182,1
n02093859,a bad photo of  a Kerry Blue Terrier.,Kerry Blue Terrier,4,183,1
n02093991,a bad photo of  a Irish Terrier.,Irish Terrier,4,184,1
n02094114,a bad photo of  a Norfolk Terrier.,Norfolk Terrier,4,185,1
n02094258,a bad photo of  a Norwich Terrier.,Norwich Terrier,4,186,1
n02094433,a bad photo of  a Yorkshire Terrier.,Yorkshire Terrier,4,187,1
n02095314,a bad photo of  a Wire Fox Terrier.,Wire Fox Terrier,4,188,1
n02095570,a bad photo of  a Lakeland Terrier.,Lakeland Terrier,4,189,1
n02095889,a bad photo of  a Sealyham Terrier.,Sealyham Terrier,4,190,1
n02096051,a bad photo of  a Airedale Terrier.,Airedale Terrier,4,191,1
n02096177,a bad photo of  a Cairn Terrier.,Cairn Terrier,4,192,1
n02096294,a bad photo of  a Australian Terrier.,Australian Terrier,4,193,1
n02096437,a bad photo of  a Dandie Dinmont Terrier.,Dandie Dinmont Terrier,4,194,1
n02096585,a bad photo of  a Boston Terrier.,Boston Terrier,4,195,1
n02097047,a bad photo of  a Miniature Schnauzer.,Miniature Schnauzer,4,196,1
n02097130,a bad photo of  a Giant Schnauzer.,Giant Schnauzer,4,197,1
n02097209,a bad photo of  a Standard Schnauzer.,Standard Schnauzer,4,198,1
n02097298,a bad photo of  a Scottish Terrier.,Scottish Terrier,4,199,1
n02097474,a bad photo of  a Tibetan Terrier.,Tibetan Terrier,4,200,1
n02097658,a bad photo of  a Australian Silky Terrier.,Australian Silky Terrier,4,201,1
n02098105,a bad photo of  a Soft-coated Wheaten Terrier.,Soft-coated Wheaten Terrier,4,202,1
n02098286,a bad photo of  a West Highland White Terrier.,West Highland White Terrier,4,203,1
n02098413,a bad photo of  a Lhasa Apso.,Lhasa Apso,4,204,1
n02099267,a bad photo of  a Flat-Coated Retriever.,Flat-Coated Retriever,4,205,1
n02099429,a bad photo of  a Curly-coated Retriever.,Curly-coated Retriever,4,206,1
n02099601,a bad photo of  a Golden Retriever.,Golden Retriever,4,207,1
n02099712,a bad photo of  a Labrador Retriever.,Labrador Retriever,4,208,1
n02099849,a bad photo of  a Chesapeake Bay Retriever.,Chesapeake Bay Retriever,4,209,1
n02100236,a bad photo of  a German Shorthaired Pointer.,German Shorthaired Pointer,4,210,1
n02100583,a bad photo of  a Vizsla.,Vizsla,4,211,1
n02100735,a bad photo of  a English Setter.,English Setter,4,212,1
n02100877,a bad photo of  a Irish Setter.,Irish Setter,4,213,1
n02101006,a bad photo of  a Gordon Setter.,Gordon Setter,4,214,1
n02101388,a bad photo of  a Brittany dog.,Brittany dog,4,215,1
n02101556,a bad photo of  a Clumber Spaniel.,Clumber Spaniel,4,216,1
n02102040,a bad photo of  a English Springer Spaniel.,English Springer Spaniel,4,217,1
n02102177,a bad photo of  a Welsh Springer Spaniel.,Welsh Springer Spaniel,4,218,1
n02102318,a bad photo of  a Cocker Spaniel.,Cocker Spaniel,4,219,1
n02102480,a bad photo of  a Sussex Spaniel.,Sussex Spaniel,4,220,1
n02102973,a bad photo of  a Irish Water Spaniel.,Irish Water Spaniel,4,221,1
n02104029,a bad photo of  a Kuvasz.,Kuvasz,4,222,1
n02104365,a bad photo of  a Schipperke.,Schipperke,4,223,1
n02105056,a bad photo of  a Groenendael dog.,Groenendael dog,4,224,1
n02105162,a bad photo of  a Malinois.,Malinois,4,225,1
n02105251,a bad photo of  a Briard.,Briard,4,226,1
n02105412,a bad photo of  a Australian Kelpie.,Australian Kelpie,4,227,1
n02105505,a bad photo of  a Komondor.,Komondor,4,228,1
n02105641,a bad photo of  a Old English Sheepdog.,Old English Sheepdog,4,229,1
n02105855,a bad photo of  a Shetland Sheepdog.,Shetland Sheepdog,4,230,1
n02106030,a bad photo of  a collie.,collie,4,231,1
n02106166,a bad photo of  a Border Collie.,Border Collie,4,232,1
n02106382,a bad photo of  a Bouvier des Flandres dog.,Bouvier des Flandres dog,4,233,1
n02106550,a bad photo of  a Rottweiler.,Rottweiler,4,234,1
n02106662,a bad photo of  a German Shepherd Dog.,German Shepherd Dog,4,235,1
n02107142,a bad photo of  a Dobermann.,Dobermann,4,236,1
n02107312,a bad photo of  a Miniature Pinscher.,Miniature Pinscher,4,237,1
n02107574,a bad photo of  a Greater Swiss Mountain Dog.,Greater Swiss Mountain Dog,4,238,1
n02107683,a bad photo of  a Bernese Mountain Dog.,Bernese Mountain Dog,4,239,1
n02107908,a bad photo of  a Appenzeller Sennenhund.,Appenzeller Sennenhund,4,240,1
n02108000,a bad photo of  a Entlebucher Sennenhund.,Entlebucher Sennenhund,4,241,1
n02108089,a bad photo of  a Boxer.,Boxer,4,242,1
n02108422,a bad photo of  a Bullmastiff.,Bullmastiff,4,243,1
n02108551,a bad photo of  a Tibetan Mastiff.,Tibetan Mastiff,4,244,1
n02108915,a bad photo of  a French Bulldog.,French Bulldog,4,245,1
n02109047,a bad photo of  a Great Dane.,Great Dane,4,246,1
n02109525,a bad photo of  a St. Bernard.,St. Bernard,4,247,1
n02109961,a bad photo of  a husky.,husky,4,248,1
n02110063,a bad photo of  a Alaskan Malamute.,Alaskan Malamute,4,249,1
n02110185,a bad photo of  a Siberian Husky.,Siberian Husky,4,250,1
n02110341,a bad photo of  a Dalmatian.,Dalmatian,4,251,1
n02110627,a bad photo of  a Affenpinscher.,Affenpinscher,4,252,1
n02110806,a bad photo of  a Basenji.,Basenji,4,253,1
n02110958,a bad photo of  a pug.,pug,4,254,1
n02111129,a bad photo of  a Leonberger.,Leonberger,4,255,1
n02111277,a bad photo of  a Newfoundland dog.,Newfoundland dog,4,256,1
n02111500,a bad photo of  a Great Pyrenees dog.,Great Pyrenees dog,4,257,1
n02111889,a bad photo of  a Samoyed.,Samoyed,4,258,1
n02112018,a bad photo of  a Pomeranian.,Pomeranian,4,259,1
n02112137,a bad photo of  a Chow Chow.,Chow Chow,4,260,1
n02112350,a bad photo of  a Keeshond.,Keeshond,4,261,1
n02112706,a bad photo of  a brussels griffon.,brussels griffon,4,262,1
n02113023,a bad photo of  a Pembroke Welsh Corgi.,Pembroke Welsh Corgi,4,263,1
n02113186,a bad photo of  a Cardigan Welsh Corgi.,Cardigan Welsh Corgi,4,264,1
n02113624,a bad photo of  a Toy Poodle.,Toy Poodle,4,265,1
n02113712,a bad photo of  a Miniature Poodle.,Miniature Poodle,4,266,1
n02113799,a bad photo of  a Standard Poodle.,Standard Poodle,4,267,1
n02113978,a bad photo of  a Mexican hairless dog (xoloitzcuintli).,Mexican hairless dog (xoloitzcuintli),4,268,1
n02114367,a bad photo of  a grey wolf.,grey wolf,4,269,1
n02114548,a bad photo of  a Alaskan tundra wolf.,Alaskan tundra wolf,4,270,1
n02114712,a bad photo of  a red wolf or maned wolf.,red wolf or maned wolf,4,271,1
n02114855,a bad photo of  a coyote.,coyote,4,272,1
n02115641,a bad photo of  a dingo.,dingo,4,273,1
n02115913,a bad photo of  a dhole.,dhole,4,274,1
n02116738,a bad photo of  a African wild dog.,African wild dog,4,275,1
n02117135,a bad photo of  a hyena.,hyena,4,276,1
n02119022,a bad photo of  a red fox.,red fox,4,277,1
n02119789,a bad photo of  a kit fox.,kit fox,4,278,1
n02120079,a bad photo of  a Arctic fox.,Arctic fox,4,279,1
n02120505,a bad photo of  a grey fox.,grey fox,4,280,1
n02123045,a bad photo of  a tabby cat.,tabby cat,4,281,1
n02123159,a bad photo of  a tiger cat.,tiger cat,4,282,1
n02123394,a bad photo of  a Persian cat.,Persian cat,4,283,1
n02123597,a bad photo of  a Siamese cat.,Siamese cat,4,284,1
n02124075,a bad photo of  a Egyptian Mau.,Egyptian Mau,4,285,1
n02125311,a bad photo of  a cougar.,cougar,4,286,1
n02127052,a bad photo of  a lynx.,lynx,4,287,1
n02128385,a bad photo of  a leopard.,leopard,4,288,1
n02128757,a bad photo of  a snow leopard.,snow leopard,4,289,1
n02128925,a bad photo of  a jaguar.,jaguar,4,290,1
n02129165,a bad photo of  a lion.,lion,4,291,1
n02129604,a bad photo of  a tiger.,tiger,4,292,1
n02130308,a bad photo of  a cheetah.,cheetah,4,293,1
n02132136,a bad photo of  a brown bear.,brown bear,4,294,1
n02133161,a bad photo of  a American black bear.,American black bear,4,295,1
n02134084,a bad photo of  a polar bear.,polar bear,4,296,1
