index,node,prompt,class_name,is_leaf,classidx
63,dummy700,a photo of a box.,box,0,99999
64,n02795169,a photo of a barrel.,barrel,1,427
65,dummy555,a photo of a kitchen implement.,kitchen implement,0,99999
66,n03154073,a photo of a cutter.,cutter,0,99999
67,n04553703,a photo of a sink.,sink,1,896
68,n04077734,a photo of a rescue equipment.,rescue equipment,0,99999
69,n03797390,a photo of a mug.,mug,0,99999
70,n04067472,a photo of a fishing casting reel.,fishing casting reel,1,758
71,n03278248,a photo of a electronic equipment.,electronic equipment,0,99999
72,dummy98,a photo of a heating device.,heating device,0,99999
73,n03876231,a photo of a paintbrush.,paintbrush,1,696
74,n02966193,a photo of a carousel.,carousel,1,476
75,dummy88,a photo of a   reflector.,  reflector,0,99999
76,n03733925,a photo of a measuring instrument.,measuring instrument,0,99999
77,n03717622,a photo of a manhole cover.,manhole cover,1,640
78,n04275548,a photo of a spider web.,spider web,1,815
79,n03527444,a photo of a holster.,holster,1,597
80,n03800933,a photo of a musical instrument.,musical instrument,0,99999
81,n03906997,a photo of a pen.,pen,0,99999
82,n04153751,a photo of a screw.,screw,1,783
83,n02699494,a photo of a altar.,altar,1,406
84,dummy190,a photo of a wheel.,wheel,0,99999
85,dummy230,a photo of a source of illumination or lighting.,source of illumination or lighting,0,99999
86,n02880940,a photo of a bowl.,bowl,0,99999
87,n03871083,a photo of a package.,package,0,99999
88,n03126707,a photo of a construction crane.,construction crane,1,517
89,n04399382,a photo of a teddy bear.,teddy bear,1,850
90,n02729837,a photo of a electric appliance.,electric appliance,0,99999
91,n03706653,a photo of a magnetic disk.,magnetic disk,0,99999
92,dummy80,a photo of a   basket.,  basket,0,99999
93,n03405265,a photo of a furnishing.,furnishing,0,99999
94,n02773037,a photo of a bag.,bag,0,99999
95,n03682487,a photo of a lock.,lock,0,99999
96,dummy119,a photo of a savings bank.,savings bank,0,99999
97,n09287968,a photo of a geological formation.,geological formation,0,99999
98,n03666591,a photo of a lighter or igniter.,lighter or igniter,1,626
99,n00017222,a photo of a plant life.,plant life,0,99999
100,n02808440,a photo of a bathtub.,bathtub,1,435
101,n02840245,a photo of a ring binder.,ring binder,1,446
102,n03603722,a photo of a jug.,jug,0,99999
103,n04081844,a photo of a restraint.,restraint,0,99999
104,dummy677,a photo of a stick.,stick,0,99999
105,n04437953,a photo of a timepiece or clock.,timepiece or clock,0,99999
106,dummy654,a photo of a disk.,disk,0,99999
107,n03489162,a photo of a hand tools.,hand tools,0,99999
108,dummy21,a photo of a fungus.,fungus,0,99999
109,n04021798,a photo of a pump.,pump,0,99999
110,n02954938,a photo of a cap.,cap,0,99999
111,n02909870,a photo of a bucket.,bucket,1,463
112,dummy110,a photo of a machine.,machine,0,99999
113,n04258138,a photo of a solar thermal collector.,solar thermal collector,1,807
114,n03908618,a photo of a case.,case,1,709
115,n03125870,a photo of a craft.,craft,0,99999
116,n03825788,a photo of a baby pacifier.,baby pacifier,1,680
117,n01861778,a photo of a mammal.,mammal,0,99999
118,n02764044,a photo of a axe.,axe,0,99999
119,n04338517,a photo of a stringed instrument.,stringed instrument,0,99999
120,n02966687,a photo of a carpenter's tool kit.,carpenter's tool kit,1,477
121,n03888257,a photo of a parachute.,parachute,1,701
122,n03623556,a photo of a knife.,knife,0,99999
123,n03915437,a photo of a percussion instrument.,percussion instrument,0,99999
124,n02794156,a photo of a barometer.,barometer,1,426
125,n04485082,a photo of a tripod.,tripod,1,872
126,n03482405,a photo of a hamper.,hamper,1,588
127,n03759954,a photo of a microphone.,microphone,1,650
128,n07730033,a photo of a cardoon.,cardoon,1,946
129,n02757462,a photo of a audio or sound system.,audio or sound system,0,99999
130,n03584829,a photo of a clothes iron.,clothes iron,1,606
131,n04367480,a photo of a mop.,mop,1,840
132,n03015254,a photo of a chest of drawers.,chest of drawers,0,99999
133,n03956157,a photo of a planetarium.,planetarium,1,727
134,n04317175,a photo of a stethoscope.,stethoscope,1,823
135,n04272054,a photo of a spectacles or glasses.,spectacles or glasses,0,99999
136,n04008634,a photo of a projectile.,projectile,1,744
137,n03314378,a photo of a face mask.,face mask,0,99999
138,n02843684,a photo of a birdhouse.,birdhouse,1,448
139,n07713895,a photo of a cabbage.,cabbage,0,99999
140,n03062245,a photo of a cocktail shaker.,cocktail shaker,1,503
141,n04509592,a photo of a uniform.,uniform,0,99999
142,n04591713,a photo of a wine bottle.,wine bottle,1,907
143,n02778669,a photo of a ball.,ball,0,99999
144,n04442312,a photo of a toaster.,toaster,1,859
145,n03899768,a photo of a patio or terrace.,patio or terrace,1,706
146,n10565667,a photo of a scuba diver.,scuba diver,1,983
147,n03781244,a photo of a monastery.,monastery,1,663
148,n04542943,a photo of a waffle iron.,waffle iron,1,891
149,n02877765,a photo of a bottle cap.,bottle cap,1,455
150,n03967562,a photo of a plow.,plow,1,730
151,n02950826,a photo of a cannon.,cannon,1,471
152,n04296562,a photo of a stage.,stage,1,819
153,n03483316,a photo of a hair dryer or hair drier.,hair dryer or hair drier,1,589
154,n02898711,a photo of a bridge.,bridge,0,99999
155,n09433442,a photo of a shore.,shore,0,99999
156,n03880531,a photo of a cooking pan.,cooking pan,0,99999
157,n03000684,a photo of a chain saw.,chain saw,1,491
158,n03773035,a photo of a mirror.,mirror,0,99999
159,n04091097,a photo of a rig.,rig,0,99999
160,n02825657,a photo of a bell cote.,bell cote,1,442
161,n01503061,a photo of a bird.,bird,0,99999
162,n02891188,a photo of a brake system.,brake system,0,99999
163,n03924679,a photo of a photocopier.,photocopier,1,713
164,n03953416,a photo of a place of worship or house of prayer.,place of worship or house of prayer,0,99999
165,n04417809,a photo of a theater.,theater,0,99999
166,n03995372,a photo of a power drill.,power drill,1,740
167,n03992509,a photo of a potter's wheel.,potter's wheel,1,739
168,n04131690,a photo of a saltshaker.,saltshaker,1,773
169,n03405725,a photo of a furniture.,furniture,0,99999
170,n03733805,a photo of a measuring cup.,measuring cup,1,647
171,n03141823,a photo of a crutch.,crutch,1,523
172,n03748162,a photo of a retail store or shop.,retail store or shop,0,99999
173,n04277352,a photo of a spindle.,spindle,1,816
174,n04517823,a photo of a vacuum cleaner.,vacuum cleaner,1,882
175,n04265275,a photo of a space heater.,space heater,1,811
176,n04596852,a photo of a women's clothing.,women's clothing,0,99999
177,n04476259,a photo of a tray.,tray,1,868
178,n03760671,a photo of a microscope.,microscope,0,99999
179,n03127925,a photo of a crate.,crate,1,519
180,n12992868,a photo of a fungus.,fungus,0,99999
181,n03970156,a photo of a plunger.,plunger,1,731
182,n04447443,a photo of a toiletry or toilet articles.,toiletry or toilet articles,0,99999
183,n02793495,a photo of a barn.,barn,1,425
184,n03761084,a photo of a microwave oven.,microwave oven,1,651
185,n03729826,a photo of a matchstick.,matchstick,1,644
186,n04078574,a photo of a reservoir.,reservoir,0,99999
187,n03323703,a photo of a fastener.,fastener,0,99999
188,n04125853,a photo of a safety belt.,safety belt,0,99999
189,n04579145,a photo of a whiskey jug.,whiskey jug,1,901
190,n04597913,a photo of a wooden spoon.,wooden spoon,1,910
191,n03954731,a photo of a block plane.,block plane,1,726
192,n04560804,a photo of a water jug.,water jug,1,899
193,n04550184,a photo of a wardrobe.,wardrobe,1,894
194,n04005630,a photo of a prison.,prison,1,743
195,n03388183,a photo of a fountain pen.,fountain pen,1,563
196,dummy35,a photo of a armor.,armor,0,99999
197,n03502509,a photo of a headdress.,headdress,0,99999
198,n02796623,a photo of a barrier.,barrier,0,99999
199,n03958227,a photo of a plastic bag.,plastic bag,1,728
200,n03857828,a photo of a cathode-ray oscilloscope.,cathode-ray oscilloscope,1,688
201,n04557648,a photo of a water bottle.,water bottle,1,898
202,n03425413,a photo of a gas pump.,gas pump,1,571
203,n03775546,a photo of a mixing bowl.,mixing bowl,1,659
204,n03419014,a photo of a garment or clothing.,garment or clothing,0,99999
205,n04555897,a photo of a watch.,watch,0,99999
206,n02823750,a photo of a beer glass.,beer glass,1,441
207,n03320046,a photo of a fan.,fan,0,99999
208,n04286575,a photo of a spotlight.,spotlight,1,818
209,n09214060,a photo of a bar.,bar,0,99999
210,n09406793,a photo of a reef.,reef,0,99999
211,n03937543,a photo of a pill bottle.,pill bottle,1,720
212,n04460130,a photo of a tower.,tower,0,99999
213,n04228054,a photo of a ski.,ski,1,795
214,n07800740,a photo of a animal fodder.,animal fodder,0,99999
215,n03063338,a photo of a coffee maker.,coffee maker,0,99999
216,n03657121,a photo of a lens cap.,lens cap,1,622
217,n04134632,a photo of a sandglass.,sandglass,0,99999
218,n03080497,a photo of a compass.,compass,0,99999
219,n03492542,a photo of a hard disk drive.,hard disk drive,1,592
220,n04105068,a photo of a roof.,roof,0,99999
221,n03709823,a photo of a mailbag.,mailbag,1,636
222,n02999410,a photo of a chain.,chain,1,488
223,n03803284,a photo of a muzzle.,muzzle,1,676
224,n02980441,a photo of a castle.,castle,1,483
225,n02906734,a photo of a broom.,broom,1,462
226,n04576211,a photo of a wheeled vehicle.,wheeled vehicle,0,99999
227,n07570720,a photo of a cooked food.,cooked food,0,99999
228,n13134947,a photo of a fruit.,fruit,0,99999
229,n04599235,a photo of a wool.,wool,1,911
230,n09835506,a photo of a ballplayer.,ballplayer,1,981
231,n03101156,a photo of a cooker.,cooker,0,99999
232,n02512053,a photo of a fish.,fish,0,99999
233,n04033901,a photo of a quill pen.,quill pen,1,749
234,n03777754,a photo of a modem.,modem,1,662
235,n02870880,a photo of a bookcase.,bookcase,1,453
236,n04238763,a photo of a slide rule.,slide rule,1,798
237,n01627424,a photo of a amphibian.,amphibian,0,99999
238,n03848348,a photo of a opener.,opener,0,99999
239,n09399592,a photo of a promontory or headland.,promontory or headland,1,976
240,dummy112,a photo of a keyboard.,keyboard,0,99999
241,n03063599,a photo of a coffee mug.,coffee mug,1,504
242,n03529860,a photo of a home theater.,home theater,1,598
243,n02815834,a photo of a beaker.,beaker,1,438
244,n03983396,a photo of a pop bottle.,pop bottle,1,737
245,n07714990,a photo of a broccoli.,broccoli,1,937
246,n03753077,a photo of a meter.,meter,0,99999
247,n03944341,a photo of a pinwheel.,pinwheel,1,723
248,n02879718,a photo of a bow.,bow,1,456
249,n03316406,a photo of a factory or mill.,factory or mill,0,99999
250,n04404412,a photo of a television.,television,1,851
251,n04208210,a photo of a shovel.,shovel,1,792
252,n03481172,a photo of a hammer.,hammer,1,587
253,n04040759,a photo of a radiator.,radiator,1,753
254,n03786901,a photo of a mortar and pestle.,mortar and pestle,1,666
255,n01661091,a photo of a reptile.,reptile,0,99999
256,n04004767,a photo of a printer.,printer,1,742
257,n04019541,a photo of a hockey puck.,hockey puck,1,746
258,n04401088,a photo of a telephone.,telephone,0,99999
259,n04554684,a photo of a washer or washing machine.,washer or washing machine,1,897
260,n09468604,a photo of a valley.,valley,1,979
261,n03661043,a photo of a library.,library,1,624
262,n03990474,a photo of a cooking pot.,cooking pot,0,99999
263,n04179913,a photo of a sewing machine.,sewing machine,1,786
264,n04586932,a photo of a wind instrument.,wind instrument,0,99999
265,n02988304,a photo of a CD player.,CD player,1,485
266,n04204238,a photo of a shopping basket.,shopping basket,1,790
267,n04403638,a photo of a telescope.,telescope,0,99999
268,n04041544,a photo of a wireless radio.,wireless radio,1,754
269,n03457902,a photo of a greenhouse.,greenhouse,1,580
270,n04525038,a photo of a velvet fabric.,velvet fabric,1,885
271,dummy54,a photo of a sled.,sled,0,99999
272,n04372370,a photo of a electrical switch.,electrical switch,1,844
273,n07715561,a photo of a squash.,squash,0,99999
274,n04074963,a photo of a remote control.,remote control,1,761
275,n03074380,a photo of a column.,column,0,99999
276,n03877845,a photo of a palace.,palace,1,698
277,n03638321,a photo of a landing.,landing,0,99999
278,n04187547,a photo of a shed.,shed,0,99999
279,n03743902,a photo of a memorial monument.,memorial monument,0,99999
280,n04330267,a photo of a stove.,stove,1,827
281,n04217882,a photo of a signboard.,signboard,0,99999
282,n02769748,a photo of a backpack or rucksack.,backpack or rucksack,1,414
283,n04015204,a photo of a protective garment.,protective garment,0,99999
284,n07720875,a photo of a bell pepper.,bell pepper,1,945
285,n04296261,a photo of a staff.,staff,0,99999
286,n02974003,a photo of a car wheel.,car wheel,1,479
287,n03636649,a photo of a lamp.,lamp,0,99999
288,n03250847,a photo of a drumstick.,drumstick,1,542
289,n03976657,a photo of a pole.,pole,1,733
290,dummy711,a photo of a strong box.,strong box,0,99999
291,n02979186,a photo of a cassette player.,cassette player,1,482
292,n02666196,a photo of a abacus.,abacus,1,398
293,n04009552,a photo of a projector.,projector,1,745
294,n06596364,a photo of a comic book.,comic book,1,917
295,n02823428,a photo of a beer bottle.,beer bottle,1,440
296,n03873416,a photo of a paddle.,paddle,1,693
297,n02783161,a photo of a ballpoint pen.,ballpoint pen,1,418
298,n04263257,a photo of a soup bowl.,soup bowl,1,809
299,n03871628,a photo of a product packet / packaging.,product packet / packaging,1,692
300,n04127249,a photo of a safety pin.,safety pin,1,772
301,n04376876,a photo of a syringe.,syringe,1,845
302,n04154565,a photo of a screwdriver.,screwdriver,1,784
303,n03614532,a photo of a keyboard instrument.,keyboard instrument,0,99999
304,n03793489,a photo of a computer mouse.,computer mouse,1,673
305,n03207941,a photo of a dishwasher or dishwashing machine.,dishwasher or dishwashing machine,1,534
306,n03776460,a photo of a mobile home.,mobile home,1,660
307,n02942699,a photo of a camera.,camera,0,99999
308,n03075370,a photo of a combination lock.,combination lock,1,507
309,n03290653,a photo of a entertainment center.,entertainment center,1,548
310,n10148035,a photo of a groom.,groom,1,982
311,n03343853,a photo of a firearm.,firearm,0,99999
312,n04438304,a photo of a timer.,timer,0,99999
313,n04251144,a photo of a snorkel.,snorkel,1,801
314,n04111531,a photo of a rotisserie.,rotisserie,1,766
315,n07734744,a photo of a mushroom.,mushroom,1,947
316,dummy104,a photo of a computer.,computer,0,99999
317,dummy773,a photo of a support structure.,support structure,0,99999
318,n03602883,a photo of a joystick.,joystick,1,613
319,n04522168,a photo of a vase.,vase,1,883
320,n04392985,a photo of a tape player.,tape player,1,848
321,n04571292,a photo of a exercising weights.,exercising weights,0,99999
322,n01905661,a photo of a invertebrate.,invertebrate,0,99999
323,n03633091,a photo of a ladle.,ladle,1,618
324,n03381126,a photo of a footwear.,footwear,0,99999
325,n04613696,a photo of a yurt.,yurt,1,915
326,n03773504,a photo of a missile.,missile,1,657
327,n03046257,a photo of a clock.,clock,0,99999
328,n04141975,a photo of a scale.,scale,1,778
329,n03935335,a photo of a piggy bank.,piggy bank,1,719
330,n03733281,a photo of a maze (labyrinth).,maze (labyrinth),1,646
331,n07718747,a photo of a artichoke.,artichoke,1,944
332,n11669921,a photo of a flower.,flower,0,99999
333,n03443371,a photo of a goblet.,goblet,1,572
334,n03658185,a photo of a letter opener.,letter opener,1,623
335,n09246464,a photo of a cliff.,cliff,1,972
336,n07881800,a photo of a beverage or drink.,beverage or drink,0,99999
337,n09359803,a photo of a mountain.,mountain,0,99999
338,n03388043,a photo of a fountain.,fountain,1,562
339,n03874599,a photo of a padlock.,padlock,1,695
340,n04336792,a photo of a stretcher.,stretcher,1,830
341,n02933112,a photo of a cabinet.,cabinet,0,99999
342,n04026417,a photo of a purse.,purse,1,748
343,n03649909,a photo of a lawn mower.,lawn mower,1,621
344,n04039381,a photo of a racket or racquet.,racket or racquet,1,752
345,n03735637,a photo of a measuring stick.,measuring stick,0,99999
346,n02971356,a photo of a cardboard box / carton.,cardboard box / carton,1,478
347,n06785654,a photo of a crossword puzzle.,crossword puzzle,1,918
348,n04081281,a photo of a restaurant.,restaurant,1,762
349,n03792972,a photo of a tent.,tent,1,672
350,n03874293,a photo of a paddle wheel.,paddle wheel,1,694
351,n09443453,a photo of a spring fountain.,spring fountain,0,99999
352,n03961711,a photo of a plate rack.,plate rack,1,729
353,n07715103,a photo of a cauliflower.,cauliflower,1,938
354,n04270147,a photo of a spatula.,spatula,1,813
355,n03490324,a photo of a handwear.,handwear,0,99999
356,n07718472,a photo of a cucumber.,cucumber,1,943
357,n03710193,a photo of a mailbox.,mailbox,1,637
358,n03472232,a photo of a gymnastic apparatus.,gymnastic apparatus,0,99999
359,n03932670,a photo of a piece of cloth.,piece of cloth,0,99999
360,n04355338,a photo of a sundial.,sundial,1,835
361,n03014705,a photo of a chest.,chest,1,492
362,n02841315,a photo of a binoculars.,binoculars,1,447
363,n03211117,a photo of a video display.,video display,0,99999
364,n04070727,a photo of a refrigerator.,refrigerator,1,760
365,n03782006,a photo of a monitor.,monitor,1,664
366,n03042490,a photo of a cliff dwelling.,cliff dwelling,1,500
367,n01767661,a photo of a anthropod.,anthropod,0,99999
368,n01560105,a photo of a nightingale.,nightingale,0,99999
369,n03727837,a photo of a mat.,mat,0,99999
370,n03903868,a photo of a pedestal.,pedestal,1,708
371,n02777292,a photo of a balance beam.,balance beam,1,416
372,n02894605,a photo of a breakwater or jetty.,breakwater or jetty,1,460
373,n02083346,a photo of a canine.,canine,0,99999
374,n02326432,a photo of a hare.,hare,1,331
375,n03113152,a photo of a cosmetic.,cosmetic,0,99999
376,n01699831,a photo of a dinosaur.,dinosaur,0,99999
377,n04141076,a photo of a saxophone.,saxophone,1,776
378,n03535780,a photo of a horizontal bar.,horizontal bar,1,602
379,n03724870,a photo of a mask.,mask,1,643
380,n01578575,a photo of a corvine bird.,corvine bird,0,99999
381,n07884567,a photo of a alcohol or alcoholic beverage.,alcohol or alcoholic beverage,0,99999
382,n02791270,a photo of a barbershop.,barbershop,1,424
383,n03838899,a photo of a oboe.,oboe,1,683
384,n03240683,a photo of a drilling offshore rig.,drilling offshore rig,1,540
385,n04033995,a photo of a quilt or comforter.,quilt or comforter,1,750
386,n04508163,a photo of a undergarments.,undergarments,0,99999
387,n04152593,a photo of a CRT screen.,CRT screen,1,782
388,n04540053,a photo of a volleyball.,volleyball,1,890
389,n01914609,a photo of a sea anemone.,sea anemone,1,108
390,n01922303,a photo of a worm.,worm,0,99999
391,n09256479,a photo of a coral reef.,coral reef,1,973
392,n04505470,a photo of a typewriter keyboard.,typewriter keyboard,1,878
393,n01843383,a photo of a toucan.,toucan,1,96
394,n03743016,a photo of a megalithic structure.,megalithic structure,1,649
395,n03494278,a photo of a harmonica or mouth organ.,harmonica or mouth organ,1,593
396,n01873310,a photo of a duck-billed platypus.,duck-billed platypus,1,103
397,n02062017,a photo of a aquatic mammal.,aquatic mammal,0,99999
398,n02128757,a photo of a snow leopard.,snow leopard,1,289
399,n04197391,a photo of a shirt.,shirt,0,99999
400,n03697007,a photo of a lumbermill.,lumbermill,1,634
401,n07802026,a photo of a hay.,hay,1,958
402,n07745940,a photo of a strawberry.,strawberry,1,949
403,n03623198,a photo of a knee pad.,knee pad,1,615
404,n02129165,a photo of a lion.,lion,1,291
405,n02686568,a photo of a aircraft.,aircraft,0,99999
406,n02316707,a photo of a echinoderm.,echinoderm,0,99999
407,n02965783,a photo of a car mirror.,car mirror,1,475
408,n07742313,a photo of a Granny Smith apple.,Granny Smith apple,1,948
409,n02948072,a photo of a candle.,candle,1,470
410,n04118021,a photo of a rug or carpet.,rug or carpet,0,99999
411,n07860988,a photo of a dough.,dough,1,961
412,n03085013,a photo of a computer keyboard.,computer keyboard,1,508
413,n01828970,a photo of a bee eater.,bee eater,1,92
414,n03461385,a photo of a grocery store.,grocery store,1,582
415,n01789386,a photo of a gallinaceous bird.,gallinaceous bird,0,99999
416,n09421951,a photo of a sandbar.,sandbar,1,977
417,n07929519,a photo of a coffee.,coffee,0,99999
418,n03207743,a photo of a dishrag.,dishrag,1,533
419,n02788148,a photo of a bannister (balustrade) handrail.,bannister (balustrade) handrail,1,421
420,n03447721,a photo of a gong.,gong,1,577
421,n01910747,a photo of a jellyfish.,jellyfish,1,107
422,dummy113,a photo of a farming machine.,farming machine,0,99999
423,n04199027,a photo of a shoe.,shoe,0,99999
424,n04311174,a photo of a steel drum.,steel drum,1,822
425,n03928116,a photo of a piano or pianoforte.,piano or pianoforte,0,99999
426,n07760859,a photo of a custard apple.,custard apple,1,956
427,n07622061,a photo of a baked goods.,baked goods,0,99999
428,n03837869,a photo of a obelisk.,obelisk,1,682
429,n03057021,a photo of a coat.,coat,0,99999
430,n03513137,a photo of a helmet.,helmet,0,99999
431,n03640988,a photo of a lantern.,lantern,0,99999
432,n03089624,a photo of a confectionery or candy store.,confectionery or candy store,1,509
433,n02787622,a photo of a banjo.,banjo,1,420
434,n01604330,a photo of a bird of prey.,bird of prey,0,99999
435,n02799071,a photo of a baseball.,baseball,1,429
436,n03948459,a photo of a pistol or handgun.,pistol or handgun,0,99999
437,n03544143,a photo of a hourglass.,hourglass,1,604
438,n02951585,a photo of a can opener.,can opener,1,473
439,n03259280,a photo of a Dutch oven.,Dutch oven,1,544
440,n01518878,a photo of a ostrich.,ostrich,1,9
441,n04200800,a photo of a shoe shop.,shoe shop,1,788
442,n02927161,a photo of a butcher shop.,butcher shop,1,467
443,n04532670,a photo of a viaduct.,viaduct,1,888
444,n04125021,a photo of a safe.,safe,1,771
445,n03160309,a photo of a dam.,dam,1,525
446,n02454379,a photo of a armadillo.,armadillo,1,363
447,n07749582,a photo of a lemon.,lemon,1,951
448,n02727426,a photo of a apiary.,apiary,1,410
449,n03216828,a photo of a dock.,dock,1,536
450,n03791235,a photo of a automotive vehicle.,automotive vehicle,0,99999
451,n01940736,a photo of a mollusk or shellfish.,mollusk or shellfish,0,99999
452,n04044716,a photo of a radio telescope.,radio telescope,1,755
453,n03337140,a photo of a file.,file,1,553
454,n01696633,a photo of a crocodilian reptile.,crocodilian reptile,0,99999
455,n03063689,a photo of a coffeepot.,coffeepot,1,505
456,n13044778,a photo of a earthstar fungus.,earthstar fungus,1,995
457,n02324045,a photo of a rabbit.,rabbit,0,99999
458,n04371563,a photo of a swimsuit (bathing suit).,swimsuit (bathing suit),0,99999
459,n04229816,a photo of a ski mask.,ski mask,1,796
460,n03942813,a photo of a ping-pong ball.,ping-pong ball,1,722
461,n01829413,a photo of a hornbill.,hornbill,1,93
462,n04254680,a photo of a soccer ball.,soccer ball,1,805
463,n03902125,a photo of a pay-phone.,pay-phone,1,707
464,n04458633,a photo of a totem pole.,totem pole,1,863
465,n03187595,a photo of a dial telephone.,dial telephone,1,528
466,n03028079,a photo of a church.,church,1,497
467,n03497657,a photo of a hat.,hat,0,99999
468,n04530566,a photo of a vessel.,vessel,0,99999
469,n12768682,a photo of a buckeye or horse chestnut.,buckeye or horse chestnut,1,990
470,n03938244,a photo of a pillow or cushion.,pillow or cushion,1,721
471,n04468005,a photo of a train.,train,0,99999
472,n07557434,a photo of a dish of food.,dish of food,0,99999
473,n12144580,a photo of a corn.,corn,1,987
474,n01823013,a photo of a cuckoo.,cuckoo,0,99999
475,n03255030,a photo of a dumbbells.,dumbbells,1,543
476,n04328186,a photo of a stopwatch.,stopwatch,1,826
477,n04210390,a photo of a shrine.,shrine,0,99999
478,n03221720,a photo of a door.,door,0,99999
479,n03888605,a photo of a parallel bars.,parallel bars,1,702
480,n03400231,a photo of a frying pan or skillet.,frying pan or skillet,1,567
481,n03485794,a photo of a handkerchief.,handkerchief,1,591
482,n04118538,a photo of a rugby ball.,rugby ball,1,768
483,n12620546,a photo of a rose hip.,rose hip,1,989
484,n03484931,a photo of a magnifying glass.,magnifying glass,0,99999
485,n03151077,a photo of a curtains or drapes.,curtains or drapes,0,99999
486,n04161981,a photo of a seat.,seat,0,99999
487,n03854065,a photo of a pipe organ.,pipe organ,1,687
488,n03476083,a photo of a hairpiece.,hairpiece,0,99999
489,n02503517,a photo of a elephant.,elephant,0,99999
490,n01639765,a photo of a frog or toad.,frog or toad,0,99999
491,n04264914,a photo of a spacecraft.,spacecraft,0,99999
492,n01592084,a photo of a chickadee.,chickadee,1,19
493,n02672831,a photo of a piano accordion.,piano accordion,1,401
494,n02871525,a photo of a bookshop or bookstore.,bookshop or bookstore,1,454
495,n07717070,a photo of a winter squash.,winter squash,0,99999
496,n03841143,a photo of a odometer.,odometer,1,685
497,n03197337,a photo of a digital watch.,digital watch,1,531
498,n04151581,a photo of a screen.,screen,0,99999
499,n03445777,a photo of a golf ball.,golf ball,1,574
500,n02114100,a photo of a wolf.,wolf,0,99999
501,n12041446,a photo of a orchid.,orchid,0,99999
502,n03249569,a photo of a drum.,drum,1,541
503,n11879895,a photo of a rapeseed.,rapeseed,1,984
504,n04235291,a photo of a sled.,sled,0,99999
